Subscription date;Subscription prices;Product category;Product name;Region;Country;City;Domain name
01/06/2021;2000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Spain;Zaragoza;Santé et soins de santé
01/06/2012;2000;Product Analytics;User Segments;Asia;India;Mumbai;Sports et loisirs
24/10/2015;2000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Canada;Toronto;Automobile et transport
06/05/2008;500;Key Capabilities;Session Replay;North America;United States;New York City;Services professionnels (conseil, comptabilité, juridique)
20/10/2008;10000;Digital Experience Analytics;Journey Analysis;Asia;Japan;Yokohama;Tourisme et voyage
22/10/2008;5000;Product Analytics;User Segments;Europe;Italy;Naples;Commerce de détail et e-commerce
18/06/2018;5000;Product Analytics;Cross-Session;North America;Canada;Ottawa;Tourisme et voyage
06/12/2023;10000;Product Analytics;Cross-Session;North America;United States;Chicago;Santé et soins de santé
29/01/2012;10000;Product Analytics;Retention Analytics;Asia;China;Shanghai;Tourisme et voyage
03/06/2016;10000;Digital Experience Monitoring;Error Analysis;North America;United States;Phoenix;Tourisme et voyage
14/02/2020;500;Digital Experience Analytics;Zone-Based Heatmaps;Europe;France;Toulouse;Médias et divertissement
21/04/2018;2000;Product Analytics;User Segments;Europe;France;Lyon;Santé et soins de santé
08/11/2008;2000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;United Kingdom;Manchester;Services financiers et bancaires
28/10/2014;5000;Digital Experience Analytics;Journey Analysis;North America;Cuba;Santa Clara;Médias et divertissement
20/12/2023;500;Digital Experience Monitoring;Speed Analysis;North America;United States;Houston;Sports et loisirs
22/07/2023;10000;Product Analytics;User Segments;Europe;France;Lyon;Tourisme et voyage
23/07/2014;1000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;China;Chengdu;Sports et loisirs
25/11/2011;1000;Digital Experience Monitoring;Speed Analysis;North America;United States;Los Angeles;Télécommunications
14/12/2018;10000;Product Analytics;Cross-Session;North America;United States;Los Angeles;Commerce de détail et e-commerce
15/06/2020;10000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;New York City;Médias et divertissement
01/06/2020;10000;Key Capabilities;Mobile App Analytics;North America;United States;New York City;Télécommunications
10/10/2013;2000;Digital Experience Monitoring;Speed Analysis;Europe;United Kingdom;London;Télécommunications
31/07/2011;10000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Canada;Calgary;Services professionnels (conseil, comptabilité, juridique)
17/02/2016;5000;Digital Experience Monitoring;Speed Analysis;North America;United States;Los Angeles;Médias et divertissement
01/06/2019;5000;Digital Experience Monitoring;Speed Analysis;Asia;South Korea;Daejeon;Tourisme et voyage
21/04/2018;1000;Product Analytics;User Segments;Europe;Germany;Hamburg;Services financiers et bancaires
11/03/2011;1000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Los Angeles;Médias et divertissement
22/07/2018;2000;Product Analytics;User Segments;Asia;Japan;Osaka;Services professionnels (conseil, comptabilité, juridique)
10/12/2013;500;Product Analytics;Cross-Session;North America;United States;Phoenix;Automobile et transport
09/05/2011;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;New York City;Santé et soins de santé
14/09/2017;1000;Digital Experience Monitoring;Error Analysis;North America;Mexico;Tijuana;Services professionnels (conseil, comptabilité, juridique)
24/11/2023;5000;Digital Experience Monitoring;Speed Analysis;North America;United States;Phoenix;Tourisme et voyage
18/12/2012;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Houston;Médias et divertissement
01/07/2021;2000;Digital Experience Monitoring;Speed Analysis;North America;Jamaica;Portmore;Médias et divertissement
13/08/2017;1000;Product Analytics;Retention Analytics;Asia;South Korea;Daegu;Santé et soins de santé
03/08/2022;2000;Key Capabilities;Mobile App Analytics;Europe;France;Toulouse;Médias et divertissement
14/01/2024;5000;Digital Experience Monitoring;Speed Analysis;Europe;Italy;Milan;Sports et loisirs
14/02/2017;5000;Key Capabilities;Impact Quantification;North America;United States;New York City;Commerce de détail et e-commerce
04/07/2012;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;France;Toulouse;Médias et divertissement
29/11/2021;5000;Digital Experience Monitoring;Speed Analysis;Europe;Germany;Frankfurt;Télécommunications
18/09/2013;2000;Digital Experience Monitoring;Frustration Scoring;Europe;France;Nice;Services professionnels (conseil, comptabilité, juridique)
12/06/2016;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Phoenix;Télécommunications
04/05/2016;2000;Key Capabilities;Session Replay;North America;Canada;Vancouver;Sports et loisirs
31/01/2021;500;Key Capabilities;Impact Quantification;South America;Argentina;Rosario;Services professionnels (conseil, comptabilité, juridique)
04/02/2009;5000;Key Capabilities;Mobile App Analytics;North America;Canada;Calgary;Santé et soins de santé
24/04/2015;2000;Product Analytics;User Segments;South America;Brazil;Rio de Janeiro;Télécommunications
11/09/2022;5000;Digital Experience Monitoring;Speed Analysis;Europe;United Kingdom;Liverpool;Télécommunications
01/02/2009;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Spain;Zaragoza;Services financiers et bancaires
08/07/2019;1000;Digital Experience Analytics;Journey Analysis;Europe;France;Paris;Sports et loisirs
10/10/2021;10000;Digital Experience Monitoring;Frustration Scoring;North America;United States;New York City;Automobile et transport
18/03/2009;1000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Los Angeles;Services professionnels (conseil, comptabilité, juridique)
16/03/2012;5000;Digital Experience Monitoring;Speed Analysis;Europe;Italy;Palermo;Services financiers et bancaires
13/03/2023;10000;Digital Experience Monitoring;Speed Analysis;Asia;Japan;Sapporo;Commerce de détail et e-commerce
08/12/2021;10000;Product Analytics;Cross-Session;North America;United States;Phoenix;Services professionnels (conseil, comptabilité, juridique)
06/12/2020;10000;Product Analytics;User Segments;Europe;Spain;Barcelona;Santé et soins de santé
22/10/2017;1000;Digital Experience Monitoring;Error Analysis;Europe;Italy;Rome;Sports et loisirs
02/10/2015;500;Digital Experience Monitoring;Speed Analysis;Asia;South Korea;Seoul;Santé et soins de santé
16/10/2011;5000;Key Capabilities;Impact Quantification;Europe;Spain;Valencia;Sports et loisirs
31/12/2013;500;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Germany;Berlin;Services financiers et bancaires
04/08/2015;10000;Digital Experience Analytics;Zone-Based Heatmaps;South America;Argentina;Rosario;Tourisme et voyage
14/02/2023;5000;Digital Experience Monitoring;Speed Analysis;Europe;Italy;Rome;Médias et divertissement
07/01/2024;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Spain;Barcelona;Tourisme et voyage
10/04/2018;10000;Product Analytics;User Segments;Asia;India;New Delhi;Services professionnels (conseil, comptabilité, juridique)
04/03/2018;10000;Digital Experience Monitoring;Speed Analysis;Asia;India;Chennai;Télécommunications
29/12/2011;500;Key Capabilities;Session Replay;North America;United States;Chicago;Automobile et transport
16/03/2017;2000;Product Analytics;Cross-Session;South America;Argentina;Buenos Aires;Services financiers et bancaires
21/03/2013;5000;Key Capabilities;Session Replay;South America;Argentina;Córdoba;Commerce de détail et e-commerce
28/06/2019;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;United Kingdom;Glasgow;Sports et loisirs
14/02/2019;5000;Digital Experience Monitoring;Error Analysis;North America;Canada;Calgary;Sports et loisirs
28/02/2021;10000;Digital Experience Monitoring;Frustration Scoring;North America;Canada;Calgary;Services financiers et bancaires
08/12/2023;5000;Product Analytics;User Segments;Africa;South Africa;Pretoria;Automobile et transport
28/02/2019;10000;Digital Experience Monitoring;Speed Analysis;Europe;United Kingdom;Birmingham;Sports et loisirs
09/12/2012;10000;Digital Experience Analytics;Zone-Based Heatmaps;South America;Argentina;Mendoza;Santé et soins de santé
14/02/2012;10000;Digital Experience Analytics;Merchandising;Europe;United Kingdom;London;Services professionnels (conseil, comptabilité, juridique)
01/07/2016;2000;Digital Experience Analytics;Journey Analysis;North America;United States;Houston;Télécommunications
06/10/2016;1000;Key Capabilities;Impact Quantification;North America;Canada;Toronto;Sports et loisirs
18/01/2016;500;Digital Experience Analytics;Journey Analysis;North America;Cuba;Havana;Automobile et transport
11/07/2013;10000;Key Capabilities;Session Replay;North America;United States;Los Angeles;Télécommunications
14/09/2021;5000;Digital Experience Analytics;Zone-Based Heatmaps;Africa;South Africa;Johannesburg;Services professionnels (conseil, comptabilité, juridique)
27/03/2024;2000;Digital Experience Monitoring;Error Analysis;North America;Canada;Ottawa;Télécommunications
10/02/2018;10000;Key Capabilities;Impact Quantification;North America;United States;New York City;Éducation et formation
20/01/2014;500;Digital Experience Monitoring;Speed Analysis;Europe;Spain;Madrid;Éducation et formation
14/12/2022;10000;Product Analytics;Retention Analytics;North America;Mexico;Mexico City;Éducation et formation
02/06/2019;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;United Kingdom;Glasgow;Commerce de détail et e-commerce
13/06/2019;5000;Product Analytics;Cross-Session;South America;Argentina;Córdoba;Sports et loisirs
20/04/2016;5000;Product Analytics;User Segments;Europe;Italy;Turin;Automobile et transport
20/10/2023;10000;Digital Experience Analytics;Zone-Based Heatmaps;South America;Argentina;Buenos Aires;Commerce de détail et e-commerce
01/09/2015;5000;Key Capabilities;Mobile App Analytics;North America;United States;Houston;Télécommunications
23/03/2018;10000;Product Analytics;Cross-Session;Europe;United Kingdom;London;Santé et soins de santé
05/02/2010;5000;Product Analytics;User Segments;North America;United States;Chicago;Automobile et transport
18/02/2023;2000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;New York City;Éducation et formation
24/11/2010;1000;Digital Experience Monitoring;Frustration Scoring;Asia;South Korea;Incheon;Services professionnels (conseil, comptabilité, juridique)
09/01/2018;500;Key Capabilities;Mobile App Analytics;Asia;China;Guangzhou;Services financiers et bancaires
22/10/2023;10000;Digital Experience Monitoring;Frustration Scoring;North America;United States;New York City;Automobile et transport
28/11/2018;5000;Product Analytics;User Segments;North America;Canada;Toronto;Services financiers et bancaires
27/07/2013;500;Product Analytics;User Segments;Europe;France;Paris;Santé et soins de santé
20/09/2019;5000;Digital Experience Monitoring;Speed Analysis;North America;United States;Chicago;Services professionnels (conseil, comptabilité, juridique)
27/08/2023;10000;Product Analytics;Retention Analytics;North America;United States;Houston;Services financiers et bancaires
30/11/2022;1000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Jamaica;Kingston;Services financiers et bancaires
16/07/2021;5000;Digital Experience Monitoring;Speed Analysis;North America;Canada;Ottawa;Services financiers et bancaires
13/11/2023;500;Product Analytics;Cross-Session;North America;Jamaica;Portmore;Télécommunications
27/12/2020;500;Digital Experience Monitoring;Speed Analysis;South America;Colombia;Bogotá;Santé et soins de santé
08/11/2008;2000;Digital Experience Analytics;Journey Analysis;North America;Mexico;Monterrey;Éducation et formation
10/07/2008;10000;Digital Experience Monitoring;Speed Analysis;Europe;France;Toulouse;Éducation et formation
29/01/2015;10000;Product Analytics;User Segments;Europe;France;Nice;Services professionnels (conseil, comptabilité, juridique)
16/04/2019;500;Product Analytics;User Segments;Europe;Italy;Rome;Sports et loisirs
19/05/2021;2000;Product Analytics;User Segments;South America;Peru;Lima;Tourisme et voyage
18/12/2023;5000;Digital Experience Monitoring;Speed Analysis;Europe;Germany;Munich;Télécommunications
16/12/2015;10000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Canada;Toronto;Tourisme et voyage
24/11/2018;500;Product Analytics;User Segments;Europe;Spain;Zaragoza;Commerce de détail et e-commerce
06/04/2015;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;United Kingdom;Birmingham;Services professionnels (conseil, comptabilité, juridique)
21/03/2010;5000;Product Analytics;User Segments;North America;United States;New York City;Télécommunications
23/09/2021;500;Digital Experience Monitoring;Speed Analysis;North America;United States;Chicago;Santé et soins de santé
01/03/2019;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Houston;Commerce de détail et e-commerce
15/11/2023;2000;Product Analytics;Retention Analytics;Africa;South Africa;Johannesburg;Médias et divertissement
31/05/2023;500;Key Capabilities;Mobile App Analytics;South America;Argentina;Rosario;Services professionnels (conseil, comptabilité, juridique)
04/07/2023;5000;Key Capabilities;Mobile App Analytics;Europe;Germany;Frankfurt;Automobile et transport
21/04/2022;5000;Key Capabilities;Impact Quantification;Asia;China;Guangzhou;Médias et divertissement
01/04/2015;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;France;Paris;Médias et divertissement
09/01/2011;5000;Digital Experience Monitoring;Error Analysis;Asia;China;Shenzhen;Médias et divertissement
26/02/2014;2000;Product Analytics;User Segments;Europe;Italy;Milan;Télécommunications
12/11/2023;2000;Digital Experience Monitoring;Frustration Scoring;North America;Canada;Montreal;Automobile et transport
19/06/2008;10000;Product Analytics;User Segments;North America;United States;Phoenix;Télécommunications
21/07/2023;1000;Product Analytics;User Segments;Europe;United Kingdom;Birmingham;Tourisme et voyage
14/06/2012;2000;Key Capabilities;Mobile App Analytics;Asia;China;Beijing;Services professionnels (conseil, comptabilité, juridique)
14/05/2014;10000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Los Angeles;Sports et loisirs
01/07/2019;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Phoenix;Automobile et transport
14/07/2021;500;Product Analytics;Cross-Session;Asia;Japan;Nagoya;Services financiers et bancaires
04/01/2022;2000;Digital Experience Analytics;Journey Analysis;North America;Canada;Vancouver;Services professionnels (conseil, comptabilité, juridique)
06/10/2022;500;Digital Experience Monitoring;Error Analysis;Asia;South Korea;Seoul;Médias et divertissement
03/05/2010;2000;Digital Experience Analytics;Journey Analysis;North America;Canada;Ottawa;Télécommunications
29/04/2014;10000;Digital Experience Monitoring;Speed Analysis;Europe;France;Toulouse;Éducation et formation
17/01/2018;5000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;India;Chennai;Tourisme et voyage
26/03/2009;10000;Digital Experience Monitoring;Speed Analysis;Europe;Italy;Rome;Santé et soins de santé
01/09/2009;500;Product Analytics;Retention Analytics;Africa;Ethiopia;Addis Ababa;Santé et soins de santé
03/08/2008;2000;Key Capabilities;Impact Quantification;South America;Brazil;São Paulo;Télécommunications
12/10/2008;5000;Product Analytics;User Segments;North America;Mexico;Guadalajara;Tourisme et voyage
05/06/2013;5000;Product Analytics;User Segments;Europe;United Kingdom;Birmingham;Services financiers et bancaires
08/04/2017;500;Key Capabilities;Impact Quantification;North America;United States;Chicago;Santé et soins de santé
03/07/2017;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Germany;Munich;Automobile et transport
27/01/2009;1000;Digital Experience Monitoring;Frustration Scoring;Europe;France;Nice;Santé et soins de santé
19/04/2014;10000;Digital Experience Monitoring;Speed Analysis;Africa;Kenya;Nairobi;Télécommunications
23/02/2023;1000;Digital Experience Analytics;Zone-Based Heatmaps;Africa;Nigeria;Port Harcourt;Télécommunications
21/04/2017;500;Digital Experience Monitoring;Speed Analysis;Asia;South Korea;Daejeon;Sports et loisirs
13/11/2013;5000;Digital Experience Analytics;Merchandising;North America;United States;Los Angeles;Commerce de détail et e-commerce
21/04/2019;500;Key Capabilities;Mobile App Analytics;Africa;Kenya;Kisumu;Services financiers et bancaires
03/03/2009;2000;Digital Experience Analytics;Merchandising;North America;United States;Los Angeles;Éducation et formation
20/10/2014;1000;Digital Experience Analytics;Journey Analysis;North America;United States;Houston;Commerce de détail et e-commerce
10/08/2009;5000;Product Analytics;Retention Analytics;North America;United States;Houston;Sports et loisirs
13/05/2015;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;France;Lyon;Sports et loisirs
03/12/2009;5000;Product Analytics;Retention Analytics;Europe;Spain;Zaragoza;Éducation et formation
08/03/2016;2000;Product Analytics;Retention Analytics;Europe;United Kingdom;Liverpool;Services financiers et bancaires
01/04/2012;5000;Digital Experience Analytics;Merchandising;South America;Argentina;Córdoba;Télécommunications
25/01/2011;1000;Digital Experience Analytics;Merchandising;Europe;France;Paris;Télécommunications
10/04/2013;1000;Product Analytics;User Segments;Europe;Italy;Turin;Éducation et formation
31/03/2020;5000;Digital Experience Analytics;Journey Analysis;North America;Mexico;Guadalajara;Médias et divertissement
15/05/2010;10000;Key Capabilities;Session Replay;Europe;Spain;Madrid;Médias et divertissement
18/11/2011;5000;Digital Experience Analytics;Journey Analysis;Africa;Nigeria;Port Harcourt;Éducation et formation
29/09/2018;500;Key Capabilities;Session Replay;Europe;United Kingdom;Liverpool;Santé et soins de santé
05/01/2012;2000;Digital Experience Monitoring;Frustration Scoring;North America;Canada;Toronto;Santé et soins de santé
27/10/2011;5000;Product Analytics;Retention Analytics;North America;Mexico;Puebla;Sports et loisirs
02/11/2017;2000;Product Analytics;User Segments;Asia;South Korea;Daejeon;Médias et divertissement
21/08/2021;1000;Digital Experience Monitoring;Error Analysis;Europe;France;Toulouse;Médias et divertissement
03/12/2016;2000;Product Analytics;Retention Analytics;Europe;Germany;Berlin;Tourisme et voyage
26/06/2013;500;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Spain;Barcelona;Éducation et formation
03/10/2022;5000;Digital Experience Analytics;Journey Analysis;Europe;France;Marseille;Services professionnels (conseil, comptabilité, juridique)
04/03/2021;1000;Product Analytics;Cross-Session;South America;Argentina;Rosario;Médias et divertissement
04/10/2012;500;Product Analytics;User Segments;North America;Canada;Toronto;Automobile et transport
01/06/2019;5000;Product Analytics;User Segments;North America;United States;Los Angeles;Santé et soins de santé
22/04/2014;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;Cuba;Havana;Télécommunications
08/11/2013;500;Key Capabilities;Impact Quantification;Asia;China;Beijing;Santé et soins de santé
30/01/2014;5000;Product Analytics;Cross-Session;North America;Mexico;Mexico City;Télécommunications
19/02/2018;10000;Key Capabilities;Mobile App Analytics;North America;United States;Phoenix;Sports et loisirs
30/06/2018;5000;Key Capabilities;Session Replay;North America;Canada;Toronto;Services financiers et bancaires
11/12/2016;5000;Key Capabilities;Session Replay;South America;Brazil;Salvador;Commerce de détail et e-commerce
08/09/2021;2000;Product Analytics;User Segments;Europe;France;Toulouse;Services financiers et bancaires
10/11/2021;10000;Digital Experience Analytics;Merchandising;Asia;South Korea;Daejeon;Médias et divertissement
19/12/2019;10000;Product Analytics;User Segments;South America;Argentina;La Plata;Éducation et formation
30/04/2013;1000;Product Analytics;User Segments;Europe;Germany;Cologne;Télécommunications
02/05/2015;5000;Product Analytics;Cross-Session;North America;United States;Houston;Services financiers et bancaires
28/10/2012;1000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Phoenix;Tourisme et voyage
06/12/2016;5000;Key Capabilities;Session Replay;North America;Canada;Montreal;Services professionnels (conseil, comptabilité, juridique)
24/02/2023;10000;Product Analytics;User Segments;North America;Canada;Calgary;Commerce de détail et e-commerce
27/06/2010;500;Digital Experience Analytics;Journey Analysis;Asia;South Korea;Daegu;Services professionnels (conseil, comptabilité, juridique)
28/07/2011;10000;Digital Experience Analytics;Journey Analysis;Europe;Spain;Barcelona;Tourisme et voyage
04/06/2014;2000;Digital Experience Analytics;Journey Analysis;Asia;Japan;Yokohama;Services professionnels (conseil, comptabilité, juridique)
10/12/2009;2000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Canada;Toronto;Tourisme et voyage
26/08/2011;500;Digital Experience Monitoring;Error Analysis;Europe;United Kingdom;Glasgow;Commerce de détail et e-commerce
07/12/2018;500;Digital Experience Analytics;Zone-Based Heatmaps;South America;Brazil;São Paulo;Services professionnels (conseil, comptabilité, juridique)
25/02/2021;5000;Key Capabilities;Session Replay;North America;Cuba;Camagüey;Médias et divertissement
25/12/2012;1000;Key Capabilities;Session Replay;North America;United States;New York City;Télécommunications
14/05/2017;2000;Key Capabilities;Session Replay;Africa;Nigeria;Kaduna;Sports et loisirs
08/02/2014;500;Key Capabilities;Mobile App Analytics;North America;United States;Houston;Services financiers et bancaires
24/10/2014;5000;Product Analytics;Retention Analytics;North America;Canada;Vancouver;Télécommunications
08/07/2010;2000;Digital Experience Monitoring;Speed Analysis;North America;Canada;Vancouver;Tourisme et voyage
24/07/2023;5000;Digital Experience Analytics;Journey Analysis;Europe;Italy;Turin;Automobile et transport
15/01/2014;10000;Digital Experience Monitoring;Speed Analysis;Europe;France;Paris;Commerce de détail et e-commerce
11/08/2022;2000;Key Capabilities;Mobile App Analytics;Europe;United Kingdom;Glasgow;Médias et divertissement
21/01/2020;1000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Mexico;Guadalajara;Services financiers et bancaires
26/08/2009;10000;Product Analytics;User Segments;Europe;United Kingdom;London;Tourisme et voyage
07/02/2015;5000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;India;Bangalore;Santé et soins de santé
30/06/2013;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Chicago;Médias et divertissement
22/08/2012;500;Product Analytics;Cross-Session;North America;United States;Houston;Automobile et transport
24/06/2014;10000;Key Capabilities;Session Replay;Europe;United Kingdom;Glasgow;Éducation et formation
02/02/2010;10000;Product Analytics;Cross-Session;Europe;United Kingdom;Manchester;Commerce de détail et e-commerce
30/06/2011;2000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Jamaica;Kingston;Automobile et transport
13/08/2019;1000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;China;Shanghai;Services financiers et bancaires
06/05/2023;1000;Key Capabilities;Session Replay;Europe;Germany;Berlin;Médias et divertissement
13/08/2014;1000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;Saudi Arabia;Jeddah;Télécommunications
27/09/2012;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Mexico;Mexico City;Sports et loisirs
02/07/2015;10000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Houston;Commerce de détail et e-commerce
30/12/2009;1000;Product Analytics;Retention Analytics;Europe;United Kingdom;Liverpool;Services professionnels (conseil, comptabilité, juridique)
09/02/2016;5000;Digital Experience Monitoring;Speed Analysis;Europe;Spain;Zaragoza;Services professionnels (conseil, comptabilité, juridique)
23/02/2009;10000;Product Analytics;Retention Analytics;Europe;Germany;Berlin;Santé et soins de santé
01/12/2016;500;Digital Experience Analytics;Journey Analysis;Asia;India;Bangalore;Médias et divertissement
06/08/2019;1000;Digital Experience Monitoring;Error Analysis;North America;Canada;Vancouver;Télécommunications
28/11/2015;2000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Germany;Munich;Services financiers et bancaires
08/10/2016;1000;Key Capabilities;Mobile App Analytics;Europe;United Kingdom;Manchester;Médias et divertissement
01/06/2018;10000;Digital Experience Monitoring;Error Analysis;North America;Cuba;Havana;Télécommunications
07/05/2020;10000;Key Capabilities;Mobile App Analytics;North America;Canada;Vancouver;Automobile et transport
14/03/2015;500;Digital Experience Monitoring;Speed Analysis;South America;Brazil;São Paulo;Services financiers et bancaires
22/07/2011;10000;Digital Experience Analytics;Merchandising;North America;Cuba;Santa Clara;Sports et loisirs
26/04/2018;5000;Digital Experience Monitoring;Frustration Scoring;North America;Cuba;Camagüey;Éducation et formation
25/12/2020;2000;Product Analytics;User Segments;North America;United States;Phoenix;Médias et divertissement
07/06/2010;10000;Key Capabilities;Session Replay;North America;United States;New York City;Services professionnels (conseil, comptabilité, juridique)
03/09/2021;500;Key Capabilities;Session Replay;North America;United States;Houston;Tourisme et voyage
14/07/2018;10000;Digital Experience Monitoring;Error Analysis;Africa;South Africa;Durban;Sports et loisirs
05/03/2014;5000;Digital Experience Monitoring;Error Analysis;Europe;Germany;Cologne;Sports et loisirs
17/01/2020;1000;Digital Experience Monitoring;Speed Analysis;Asia;China;Beijing;Télécommunications
18/05/2013;2000;Digital Experience Monitoring;Speed Analysis;South America;Argentina;Córdoba;Sports et loisirs
19/08/2010;5000;Digital Experience Analytics;Merchandising;Africa;Nigeria;Port Harcourt;Services professionnels (conseil, comptabilité, juridique)
28/09/2013;1000;Digital Experience Analytics;Merchandising;South America;Colombia;Cartagena;Télécommunications
08/05/2008;10000;Digital Experience Monitoring;Error Analysis;South America;Brazil;Brasília;Éducation et formation
22/08/2014;5000;Digital Experience Analytics;Journey Analysis;Africa;Nigeria;Kaduna;Commerce de détail et e-commerce
20/02/2023;10000;Digital Experience Analytics;Journey Analysis;South America;Argentina;Mendoza;Automobile et transport
01/08/2023;10000;Digital Experience Monitoring;Frustration Scoring;North America;United States;Houston;Commerce de détail et e-commerce
06/02/2011;10000;Digital Experience Analytics;Journey Analysis;South America;Brazil;Rio de Janeiro;Éducation et formation
18/01/2009;500;Key Capabilities;Session Replay;North America;United States;Chicago;Éducation et formation
09/03/2024;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Phoenix;Éducation et formation
29/07/2009;2000;Digital Experience Analytics;Merchandising;Asia;Japan;Sapporo;Services financiers et bancaires
28/09/2008;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Spain;Madrid;Télécommunications
30/06/2014;10000;Digital Experience Monitoring;Frustration Scoring;Europe;United Kingdom;Manchester;Médias et divertissement
22/03/2013;5000;Product Analytics;User Segments;Africa;South Africa;Port Elizabeth;Services professionnels (conseil, comptabilité, juridique)
14/02/2012;2000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Phoenix;Télécommunications
27/08/2008;500;Digital Experience Monitoring;Error Analysis;Europe;Spain;Barcelona;Tourisme et voyage
17/01/2017;5000;Product Analytics;Retention Analytics;Asia;Japan;Nagoya;Éducation et formation
05/05/2021;5000;Digital Experience Analytics;Zone-Based Heatmaps;Africa;Kenya;Eldoret;Sports et loisirs
18/10/2019;10000;Product Analytics;Retention Analytics;Europe;United Kingdom;Birmingham;Commerce de détail et e-commerce
08/10/2012;500;Key Capabilities;Impact Quantification;Europe;France;Lyon;Télécommunications
25/03/2012;500;Product Analytics;User Segments;Europe;France;Nice;Services financiers et bancaires
03/11/2020;5000;Product Analytics;User Segments;Asia;South Korea;Busan;Santé et soins de santé
28/04/2021;1000;Key Capabilities;Mobile App Analytics;North America;United States;Houston;Télécommunications
03/03/2016;10000;Key Capabilities;Mobile App Analytics;Asia;China;Chengdu;Santé et soins de santé
18/02/2023;500;Digital Experience Analytics;Journey Analysis;Europe;Spain;Madrid;Services financiers et bancaires
24/07/2017;1000;Digital Experience Monitoring;Speed Analysis;Europe;France;Lyon;Services professionnels (conseil, comptabilité, juridique)
05/12/2010;10000;Digital Experience Analytics;Zone-Based Heatmaps;South America;Colombia;Medellín;Automobile et transport
04/06/2008;2000;Key Capabilities;Mobile App Analytics;North America;Canada;Calgary;Télécommunications
29/03/2023;1000;Key Capabilities;Impact Quantification;North America;United States;Houston;Commerce de détail et e-commerce
30/06/2014;10000;Digital Experience Analytics;Zone-Based Heatmaps;Africa;Egypt;Giza;Commerce de détail et e-commerce
20/12/2008;2000;Digital Experience Analytics;Merchandising;Asia;Japan;Nagoya;Commerce de détail et e-commerce
03/02/2019;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Germany;Cologne;Éducation et formation
21/07/2008;500;Product Analytics;User Segments;North America;Canada;Toronto;Automobile et transport
04/08/2017;500;Digital Experience Monitoring;Speed Analysis;Asia;South Korea;Seoul;Sports et loisirs
12/06/2021;2000;Digital Experience Analytics;Journey Analysis;Europe;United Kingdom;London;Services professionnels (conseil, comptabilité, juridique)
18/04/2019;10000;Key Capabilities;Impact Quantification;North America;Mexico;Tijuana;Tourisme et voyage
01/11/2020;1000;Product Analytics;User Segments;Europe;Spain;Zaragoza;Santé et soins de santé
19/02/2013;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Italy;Turin;Services financiers et bancaires
03/04/2021;5000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;India;New Delhi;Services professionnels (conseil, comptabilité, juridique)
15/06/2009;5000;Key Capabilities;Impact Quantification;North America;Canada;Ottawa;Éducation et formation
